trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
218,False,"{'a': 0.5, 'e': 0.1937547529426719}",25,15,5.111968055444063,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
219,False,"{'a': 0.5, 'e': 0.19230159229560184}",20,8,-28.702868393731357,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 1}",1
220,False,"{'a': 0.5, 'e': 0.19085933035338484}",25,10,-38.670851319731,"{0: 12, 1: 0, 2: 2, 3: 0, 4: 1}",1
221,False,"{'a': 0.5, 'e': 0.18942788537573446}",30,15,15.429949756736676,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
222,False,"{'a': 0.5, 'e': 0.18800717623541646}",20,0,-28.231101025244214,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",0
223,False,"{'a': 0.5, 'e': 0.18659712241365087}",25,11,-0.008109896901560054,"{0: 12, 1: 0, 2: 2, 3: 0, 4: 0}",1
224,False,"{'a': 0.5, 'e': 0.18519764399554847}",25,0,21.30461662589518,"{0: 24, 1: 0, 2: 0, 3: 1, 4: 0}",0
225,False,"{'a': 0.5, 'e': 0.18380866166558188}",25,11,23.396497884869927,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
226,False,"{'a': 0.5, 'e': 0.18243009670309002}",30,0,34.02949586955798,"{0: 29, 1: 0, 2: 1, 3: 0, 4: 0}",0
227,False,"{'a': 0.5, 'e': 0.18106187097781687}",20,13,16.810153012400377,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
228,False,"{'a': 0.5, 'e': 0.17970390694548324}",20,0,4.709471274718327,"{0: 18, 1: 0, 2: 1, 3: 1, 4: 0}",0
229,False,"{'a': 0.5, 'e': 0.17835612764339212}",35,21,27.542829144423116,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
230,False,"{'a': 0.5, 'e': 0.1770184566860667}",25,0,39.85439434981552,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
231,False,"{'a': 0.5, 'e': 0.1756908182609212}",20,12,3.79343032615287,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
232,False,"{'a': 0.5, 'e': 0.1743731371239643}",30,16,32.67921194743387,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
233,False,"{'a': 0.5, 'e': 0.17306533859553458}",20,3,3.37658357234265,"{0: 16, 1: 0, 2: 0, 3: 1, 4: 0}",1
234,False,"{'a': 0.5, 'e': 0.17176734855606807}",25,17,16.78428231450266,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
235,False,"{'a': 0.5, 'e': 0.17047909344189757}",20,4,28.592098525760434,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
236,False,"{'a': 0.5, 'e': 0.16920050024108335}",25,9,-89.06708128909544,"{0: 12, 1: 0, 2: 1, 3: 1, 4: 2}",1
237,False,"{'a': 0.5, 'e': 0.16793149648927524}",30,9,32.98774304828399,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 0}",1
238,False,"{'a': 0.5, 'e': 0.16667201026560569}",20,14,9.430537143682347,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
239,False,"{'a': 0.5, 'e': 0.16542197018861365}",30,15,16.364571902432743,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
240,False,"{'a': 0.5, 'e': 0.16418130541219905}",35,15,13.878621772949582,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",1
241,False,"{'a': 0.5, 'e': 0.16294994562160756}",20,3,-25.801020375941043,"{0: 15, 1: 1, 2: 0, 3: 0, 4: 1}",1
